"Gloss","Precision","Recall","F1","Support"
"OLD","1.000","0.500","0.667","2"
"ORANGE","0.750","1.000","0.857","3"
"ORDER","0.667","1.000","0.800","2"
"PAINT","1.000","0.500","0.667","2"
"PANTS","0.333","0.500","0.400","2"
"PAPER","0.000","0.000","0.000","2"
"PARTY","0.000","0.000","0.000","2"
"PAST","0.000","0.000","0.000","2"
"PENCIL","0.667","1.000","0.800","2"
"PERSON","0.000","0.000","0.000","2"
"PINK","0.000","0.000","0.000","3"
"PIZZA","1.000","0.333","0.500","3"
"PLAN","0.333","0.500","0.400","2"
"PLAY","0.250","0.500","0.333","2"
"PLEASE","0.400","1.000","0.571","2"
"POLICE","0.667","1.000","0.800","2"
"PRACTICE","0.333","0.500","0.400","2"
"PRESIDENT","0.500","1.000","0.667","2"
"PROBLEM","1.000","1.000","1.000","2"
"PULL","0.667","1.000","0.800","2"
"PURPLE","0.000","0.000","0.000","2"
"RABBIT","1.000","0.333","0.500","3"
"READ","0.500","1.000","0.667","2"
"RED","1.000","0.500","0.667","2"
"REMEMBER","0.000","0.000","0.000","2"
"RESTAURANT","0.333","0.500","0.400","2"
"RIDE","0.500","0.500","0.500","2"
"RIGHT","0.000","0.000","0.000","2"
"ROOM","1.000","0.333","0.500","3"
"RUN","0.500","0.500","0.500","2"
"RUSSIA","0.250","0.500","0.333","2"
"SALT","0.000","0.000","0.000","2"
"SAME","0.500","0.667","0.571","3"
"SANDWICH","0.250","0.500","0.333","2"
"SCHOOL","0.000","0.000","0.000","2"
"SECRETARY","1.000","0.333","0.500","3"
"SHARE","0.200","0.500","0.286","2"
"SHIRT","1.000","0.667","0.800","3"
"SHORT","0.500","0.500","0.500","2"
"SHOW","1.000","1.000","1.000","2"
"SICK","0.500","0.500","0.500","2"
"SIGN","0.500","0.500","0.500","2"
"SINCE","1.000","1.000","1.000","2"
"SMALL","0.000","0.000","0.000","2"
"SNOW","0.500","1.000","0.667","2"
"SOME","0.000","0.000","0.000","2"
"SON","0.000","0.000","0.000","2"
"SOON","0.400","0.667","0.500","3"
"SOUTH","0.000","0.000","0.000","2"
"STAY","0.500","0.500","0.500","2"
"STUDENT","1.000","0.500","0.667","2"
"STUDY","0.667","1.000","0.800","2"
"SUNDAY","1.000","1.000","1.000","2"
"TABLE","1.000","1.000","1.000","3"
"TAKE","0.333","0.333","0.333","3"
"TALL","0.333","0.333","0.333","3"
"TEA","1.000","1.000","1.000","2"
"TEACH","0.667","1.000","0.800","2"
"TEACHER","0.667","1.000","0.800","2"
"TELL","1.000","0.500","0.667","2"
"TEST","1.000","1.000","1.000","2"
"THANKSGIVING","0.500","0.333","0.400","3"
"THEORY","0.333","0.500","0.400","2"
"THIN","0.000","0.000","0.000","3"
"THURSDAY","1.000","1.000","1.000","2"
"TIME","0.667","1.000","0.800","2"
"TIRED","1.000","0.500","0.667","2"
"TOMATO","0.500","1.000","0.667","2"
"TRADE","0.000","0.000","0.000","2"
"TRAIN","0.200","0.500","0.286","2"
"TRAVEL","0.667","1.000","0.800","2"
"UGLY","0.500","0.500","0.500","2"
"VISIT","1.000","1.000","1.000","2"
"WAIT","0.500","0.500","0.500","2"
"WALK","0.333","0.333","0.333","3"
"WANT","0.200","0.500","0.286","2"
"WAR","0.000","0.000","0.000","2"
"WATER","0.500","1.000","0.667","2"
"WEEK","1.000","0.500","0.667","2"
"WHAT","0.333","0.333","0.333","3"
"WHERE","0.667","1.000","0.800","2"
"WHITE","1.000","1.000","1.000","2"
"WHO","0.000","0.000","0.000","3"
"WHY","0.400","1.000","0.571","2"
"WIFE","0.333","0.500","0.400","2"
"WINDOW","0.500","0.500","0.500","2"
"WITH","1.000","0.500","0.667","2"
"WOMAN","1.000","0.667","0.800","3"
"WORK","0.500","0.500","0.500","2"
"WRITE","0.333","0.500","0.400","2"
"WRONG","0.667","1.000","0.800","2"
"YEAR","0.600","1.000","0.750","3"
"YELLOW","0.500","0.500","0.500","2"
"YES","0.200","0.333","0.250","3"
"YESTERDAY","0.000","0.000","0.000","2"
"YOU","0.000","0.000","0.000","2"
"YOUR","1.000","1.000","1.000","2"
